Year,Net Income (£),Add: Depreciation (£),Operating CF (£),Principal Repaid (£),Financing CF (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,185.0,280.0,465.0,560.0,-560.0,-95.0,-95.0,False
2,214.4,280.0,494.4,560.0,-560.0,-65.6,-160.6,False
3,243.8,280.0,523.8,560.0,-560.0,-36.2,-196.8,False
4,273.2,280.0,553.2,560.0,-560.0,-6.8,-203.6,False
5,302.6,280.0,582.6,560.0,-560.0,22.6,-181.0,True
6,332.0,280.0,612.0,0.0,-0.0,612.0,431.0,True
7,332.0,280.0,612.0,0.0,-0.0,612.0,1043.0,True
8,332.0,280.0,612.0,0.0,-0.0,612.0,1655.0,True
9,332.0,280.0,612.0,0.0,-0.0,612.0,2267.0,True
10,332.0,280.0,612.0,0.0,-0.0,612.0,2878.99,True
