Year,Net Income (£),Add: Depreciation (£),Operating CF (£),Principal Repaid (£),Financing CF (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,185.0,280.0,465.0,400.0,-400.0,65.0,65.0,True
2,206.0,280.0,486.0,400.0,-400.0,86.0,151.0,True
3,227.0,280.0,507.0,400.0,-400.0,107.0,258.0,True
4,248.0,280.0,528.0,400.0,-400.0,128.0,386.0,True
5,269.0,280.0,549.0,400.0,-400.0,149.0,535.0,True
6,290.0,280.0,570.0,400.0,-400.0,170.0,705.0,True
7,311.0,280.0,591.0,400.0,-400.0,191.0,896.0,True
8,332.0,280.0,612.0,0.0,-0.0,612.0,1508.0,True
9,332.0,280.0,612.0,0.0,-0.0,612.0,2120.0,True
10,332.0,280.0,612.0,0.0,-0.0,612.0,2731.99,True
