Year,Loan Yrs,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,133.96,1.0,1.0,50.0,10.0,60.0,73.96,280.0,-206.04,196.0,-402.04,0.0,-402.04,5000
2,3,111.71,0.851,0.98,50.0,10.0,60.0,51.71,280.0,-228.29,130.67,-358.96,0.0,-358.96,5000
3,3,100.72,0.783,0.96,50.0,10.0,60.0,40.72,280.0,-239.28,65.33,-304.61,0.0,-304.61,5000
4,3,91.76,0.728,0.941,50.0,10.0,60.0,31.76,280.0,-248.24,0.0,-248.24,0.0,-248.24,5000
5,3,84.51,0.684,0.922,50.0,10.0,60.0,24.51,280.0,-255.49,0.0,-255.49,0.0,-255.49,5000
6,3,79.14,0.654,0.904,50.0,10.0,60.0,19.14,280.0,-260.86,0.0,-260.86,0.0,-260.86,5000
7,3,74.42,0.627,0.886,50.0,10.0,60.0,14.42,280.0,-265.58,0.0,-265.58,0.0,-265.58,5000
8,3,70.24,0.604,0.868,50.0,10.0,60.0,10.24,280.0,-269.76,0.0,-269.76,0.0,-269.76,5000
9,3,66.5,0.583,0.851,50.0,10.0,60.0,6.5,280.0,-273.5,0.0,-273.5,0.0,-273.5,5000
10,3,63.13,0.565,0.834,50.0,10.0,60.0,3.13,280.0,-276.87,0.0,-276.87,0.0,-276.87,5000
11,3,60.08,0.549,0.817,50.0,10.0,60.0,0.08,280.0,-279.92,0.0,-279.92,0.0,-279.92,5000
12,3,58.88,0.549,0.801,50.0,10.0,60.0,-1.12,280.0,-281.12,0.0,-281.12,0.0,-281.12,5000
1,5,133.96,1.0,1.0,50.0,10.0,60.0,73.96,280.0,-206.04,196.0,-402.04,0.0,-402.04,5000
2,5,111.71,0.851,0.98,50.0,10.0,60.0,51.71,280.0,-228.29,156.8,-385.09,0.0,-385.09,5000
