Year,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),EBT (£),Tax 25% (£),Net Income (£)
1,128.13,1.0,1.0,50.0,10.0,60.0,68.13,68.13,17.03,51.1
2,118.72,0.945,0.98,50.0,10.0,60.0,58.72,58.72,14.68,44.04
3,111.67,0.907,0.96,50.0,10.0,60.0,51.67,51.67,12.92,38.75
4,106.69,0.885,0.941,50.0,10.0,60.0,46.69,46.69,11.67,35.01
5,103.6,0.877,0.922,50.0,10.0,60.0,43.6,43.6,10.9,32.7
6,101.57,0.877,0.904,50.0,10.0,60.0,41.57,41.57,10.39,31.18
7,99.6,0.878,0.886,50.0,10.0,60.0,39.6,39.6,9.9,29.7
8,97.68,0.878,0.868,50.0,10.0,60.0,37.68,37.68,9.42,28.26
9,95.8,0.879,0.851,50.0,10.0,60.0,35.8,35.8,8.95,26.85
10,93.95,0.879,0.834,50.0,10.0,60.0,33.95,33.95,8.49,25.46
11,92.14,0.88,0.817,50.0,10.0,60.0,32.14,32.14,8.03,24.1
12,90.3,0.88,0.801,50.0,10.0,60.0,30.3,30.3,7.57,22.72
