Year,Loan Yrs,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,128.13,1.0,1.0,50.0,10.0,60.0,68.13,280.0,-211.87,196.0,-407.87,0.0,-407.87,6000
2,3,106.85,0.851,0.98,50.0,10.0,60.0,46.85,280.0,-233.15,130.67,-363.82,0.0,-363.82,6000
3,3,96.34,0.783,0.96,50.0,10.0,60.0,36.34,280.0,-243.66,65.33,-308.99,0.0,-308.99,6000
4,3,87.77,0.728,0.941,50.0,10.0,60.0,27.77,280.0,-252.23,0.0,-252.23,0.0,-252.23,6000
5,3,80.83,0.684,0.922,50.0,10.0,60.0,20.83,280.0,-259.17,0.0,-259.17,0.0,-259.17,6000
6,3,75.7,0.654,0.904,50.0,10.0,60.0,15.7,280.0,-264.3,0.0,-264.3,0.0,-264.3,6000
7,3,71.18,0.627,0.886,50.0,10.0,60.0,11.18,280.0,-268.82,0.0,-268.82,0.0,-268.82,6000
8,3,67.18,0.604,0.868,50.0,10.0,60.0,7.18,280.0,-272.82,0.0,-272.82,0.0,-272.82,6000
9,3,63.61,0.583,0.851,50.0,10.0,60.0,3.61,280.0,-276.39,0.0,-276.39,0.0,-276.39,6000
10,3,60.39,0.565,0.834,50.0,10.0,60.0,0.39,280.0,-279.61,0.0,-279.61,0.0,-279.61,6000
11,3,57.47,0.549,0.817,50.0,10.0,60.0,-2.53,280.0,-282.53,0.0,-282.53,0.0,-282.53,6000
12,3,56.32,0.549,0.801,50.0,10.0,60.0,-3.68,280.0,-283.68,0.0,-283.68,0.0,-283.68,6000
1,5,128.13,1.0,1.0,50.0,10.0,60.0,68.13,280.0,-211.87,196.0,-407.87,0.0,-407.87,6000
2,5,106.85,0.851,0.98,50.0,10.0,60.0,46.85,280.0,-233.15,156.8,-389.95,0.0,-389.95,6000
3,5,96.34,0.783,0.96,50.0,10.0,60.0,36.34,280.0,-243.66,117.6,-361.26,0.0,-361.26,6000
4,5,87.77,0.728,0.941,50.0,10.0,60.0,27.77,280.0,-252.23,78.4,-330.63,0.0,-330.63,6000
5,5,80.83,0.684,0.922,50.0,10.0,60.0,20.83,280.0,-259.17,39.2,-298.37,0.0,-298.37,6000
6,5,75.7,0.654,0.904,50.0,10.0,60.0,15.7,280.0,-264.3,0.0,-264.3,0.0,-264.3,6000
7,5,71.18,0.627,0.886,50.0,10.0,60.0,11.18,280.0,-268.82,0.0,-268.82,0.0,-268.82,6000
8,5,67.18,0.604,0.868,50.0,10.0,60.0,7.18,280.0,-272.82,0.0,-272.82,0.0,-272.82,6000
9,5,63.61,0.583,0.851,50.0,10.0,60.0,3.61,280.0,-276.39,0.0,-276.39,0.0,-276.39,6000
10,5,60.39,0.565,0.834,50.0,10.0,60.0,0.39,280.0,-279.61,0.0,-279.61,0.0,-279.61,6000
11,5,57.47,0.549,0.817,50.0,10.0,60.0,-2.53,280.0,-282.53,0.0,-282.53,0.0,-282.53,6000
12,5,56.32,0.549,0.801,50.0,10.0,60.0,-3.68,280.0,-283.68,0.0,-283.68,0.0,-283.68,6000
1,7,128.13,1.0,1.0,50.0,10.0,60.0,68.13,280.0,-211.87,196.0,-407.87,0.0,-407.87,6000
2,7,106.85,0.851,0.98,50.0,10.0,60.0,46.85,280.0,-233.15,168.0,-401.15,0.0,-401.15,6000
3,7,96.34,0.783,0.96,50.0,10.0,60.0,36.34,280.0,-243.66,140.0,-383.66,0.0,-383.66,6000
4,7,87.77,0.728,0.941,50.0,10.0,60.0,27.77,280.0,-252.23,112.0,-364.23,0.0,-364.23,6000
5,7,80.83,0.684,0.922,50.0,10.0,60.0,20.83,280.0,-259.17,84.0,-343.17,0.0,-343.17,6000
6,7,75.7,0.654,0.904,50.0,10.0,60.0,15.7,280.0,-264.3,56.0,-320.3,0.0,-320.3,6000
7,7,71.18,0.627,0.886,50.0,10.0,60.0,11.18,280.0,-268.82,28.0,-296.82,0.0,-296.82,6000
8,7,67.18,0.604,0.868,50.0,10.0,60.0,7.18,280.0,-272.82,0.0,-272.82,0.0,-272.82,6000
9,7,63.61,0.583,0.851,50.0,10.0,60.0,3.61,280.0,-276.39,0.0,-276.39,0.0,-276.39,6000
10,7,60.39,0.565,0.834,50.0,10.0,60.0,0.39,280.0,-279.61,0.0,-279.61,0.0,-279.61,6000
11,7,57.47,0.549,0.817,50.0,10.0,60.0,-2.53,280.0,-282.53,0.0,-282.53,0.0,-282.53,6000
12,7,56.32,0.549,0.801,50.0,10.0,60.0,-3.68,280.0,-283.68,0.0,-283.68,0.0,-283.68,6000
1,10,128.13,1.0,1.0,50.0,10.0,60.0,68.13,280.0,-211.87,196.0,-407.87,0.0,-407.87,6000
2,10,106.85,0.851,0.98,50.0,10.0,60.0,46.85,280.0,-233.15,176.4,-409.55,0.0,-409.55,6000
3,10,96.34,0.783,0.96,50.0,10.0,60.0,36.34,280.0,-243.66,156.8,-400.46,0.0,-400.46,6000
4,10,87.77,0.728,0.941,50.0,10.0,60.0,27.77,280.0,-252.23,137.2,-389.43,0.0,-389.43,6000
5,10,80.83,0.684,0.922,50.0,10.0,60.0,20.83,280.0,-259.17,117.6,-376.77,0.0,-376.77,6000
6,10,75.7,0.654,0.904,50.0,10.0,60.0,15.7,280.0,-264.3,98.0,-362.3,0.0,-362.3,6000
7,10,71.18,0.627,0.886,50.0,10.0,60.0,11.18,280.0,-268.82,78.4,-347.22,0.0,-347.22,6000
8,10,67.18,0.604,0.868,50.0,10.0,60.0,7.18,280.0,-272.82,58.8,-331.62,0.0,-331.62,6000
9,10,63.61,0.583,0.851,50.0,10.0,60.0,3.61,280.0,-276.39,39.2,-315.59,0.0,-315.59,6000
10,10,60.39,0.565,0.834,50.0,10.0,60.0,0.39,280.0,-279.61,19.6,-299.21,0.0,-299.21,6000
